number,num_pol,cost,age,older,car,output
649093691,4,824.75,67,32,1,0
2006185280,1,826,34,3,0,1
229394741,2,826,54,15,1,0
565352060,1,827,15,18,0,1
541135431,8,827.5,65,135,1,0
384219131,1,828,46,36,1,1
239374850,1,829,52,31,0,1
532521771,27,829.7777778,67,235,1,0
273573001,2,830,47,28,1,1
274663660,2,831,48,5,0,1
242630631,2,834,52,22,1,1
556967101,7,834.7142857,63,96,1,0
284126901,3,835.3333333,50,5,1,1
547507241,2,839.5,64,2,1,0
3088621681,5,841,49,26,1,1
509605581,2,842.5,70,10,1,0
136496520,1,845,74,0,0,1
19129890,1,845,73,5,0,0
553710091,4,850,63,65,1,0
228735251,2,850.5,55,15,1,1
286269351,4,853.5,50,27,1,0
228890340,1,855,55,11,0,0
332362901,2,855.5,45,18,1,0
559837791,6,855.6666667,62,52,1,0
79197151,4,857,84,15,1,0
362123301,2,857.5,42,34,1,0
500959420,1,858,71,25,0,0
94562290,2,858,74,21,0,1
529600441,1,859,40,7,1,0
638247340,1,859,77,32,0,1
2005817001,2,859.5,33,25,1,0
3011559821,2,859.5,34,17,1,0
556667961,2,859.5,63,9,1,0
553787151,3,861,63,17,1,1
556199850,1,861,62,23,0,0
513751780,2,862.5,70,30,0,1
597640430,1,865,56,26,0,0
315796340,1,867,43,8,0,0
55993290,1,868,77,20,0,0
58956101,8,868.5,83,65,1,0
43971621,4,869.5,72,70,1,0
520951890,1,870,68,3,0,1
3028486271,2,872,33,0,1,0
238048750,2,874,53,15,0,0
247461821,3,874,50,67,1,0
39016001,2,874,78,28,1,1
255717461,6,875,48,70,1,0
317487831,3,875,47,49,1,0
302168160,1,878,72,8,0,0
249938001,2,879,52,13,1,0
522830741,3,879.6666667,68,62,1,0
376913910,4,880.75,46,1,0,0
375354241,2,882.5,46,25,1,0
60023560,2,883.5,79,12,0,0
304414141,1,884,72,73,1,0
94142441,2,884.5,75,40,1,0
56232440,1,885,22,0,0,0
554024811,27,885.2222222,63,218,1,0
220721281,2,885.5,56,9,1,0
555314201,3,886.6666667,62,28,1,0
302169721,2,887,72,0,1,1
492934421,2,888,74,33,1,0
509692451,4,889.25,70,38,1,0
30370331,9,889.6666667,83,80,1,0
332490460,4,889.75,45,18,0,0
516229421,3,890.3333333,69,73,1,0
534127061,2,890.5,67,13,1,0
513999540,4,891,68,6,0,1
92864930,1,892,79,10,0,0
3014124901,2,893.5,34,2,1,0
263898091,5,893.8,48,28,1,0
237303771,1,894,53,8,1,0
277476661,4,894.5,51,50,1,0
421468031,1,897,73,33,1,0
286699760,2,897.5,50,20,0,0
330894341,2,899,45,11,1,0
3008195131,4,899.5,34,26,1,0
552830711,2,901.5,64,14,1,0
298189781,7,902,46,1,1,0
92206330,1,902,81,18,0,1
301890131,7,903.1428571,72,12,1,0
125469901,2,908,79,41,1,1
283557821,2,908,50,1,1,0
35946520,1,909,75,5,0,0
284053060,3,910.3333333,51,44,0,0
302169720,2,912.5,72,0,0,0
202251161,2,913,80,25,1,0
56374911,8,913.875,83,61,1,0
42543711,6,914.3333333,78,95,1,0
528268721,2,914.5,67,7,1,0
3113662561,2,915.5,28,10,1,0
324344581,12,915.5,46,33,1,0
267962270,3,917,66,2,0,1
169564271,4,917.75,57,0,1,0
375665361,5,918,46,39,1,0
56044341,6,918.3333333,72,83,1,0
233865191,2,918.5,53,7,1,1
383946640,1,919,46,3,0,1
279745341,2,919.5,51,51,1,0
92864931,4,919.5,79,39,1,0
433833551,2,920,40,1,1,0
280725100,1,923,51,29,0,0
530271160,1,923,67,45,0,0
2074748831,2,923.5,24,9,1,1
304230731,2,924.5,72,20,1,0
284106601,3,925,51,11,1,0
320462031,9,926.8888889,47,54,1,0
348417671,4,928,42,48,1,0
